init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1094.7531,1095.7519,,,1096.2493,1096.4975,,26,26,,,,,,,,,,,,,,,,bars/030.png,bars/mask000.png,,,,,,,,,,,,0,2,,,,,,,6,4,7,4,,,,,,,,,,,1095.752,1096.2493,1096.4976,1097.1771,space,0.6569,,1097.1774,66,39,1098.1768,1098.1769,1098.1786,,,,0,27,27,27,1,140,65,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1098.1792,1099.1766,,,1099.6727,1099.922,,118,118,,,,,,,,,,,,,,,,bars/015.png,bars/mask000.png,,,,,,,,,,,,5,1,,,,,,,8,6,7,7,,,,,,,,,,,1099.1767,1099.6726,1099.9221,1102.1206,space,2.1729,,1102.1207,8,42,1103.1207,1103.1208,1103.1483,,,,0,28,28,28,1,110,160,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1103.1488,1104.1442,,,1104.6482,1104.8963,,165,165,,,,,,,,,,,,,,,,bars/017.png,bars/mask008.png,,,,,,,,,,,,3,1,,,,,,,10,4,9,5,,,,,,,,,,,1104.1443,1104.6481,1104.8964,1107.0243,space,2.1048,,1107.0244,20,60,1108.0237,1108.0238,1108.0478,,,,0,29,29,29,1,145,45,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1108.0482,1109.0474,,,1109.5456,1109.7939,,78,78,,,,,,,,,,,,,,,,bars/005.png,bars/mask001.png,,,,,,,,,,,,0,2,,,,,,,8,2,8,0,,,,,,,,,,,1109.0475,1109.5456,1109.794,1110.7457,space,0.9281,,1110.7459,68,62,1111.7451,1111.7452,1111.75,,,,0,30,30,30,1,10,140,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1111.751,1112.745,,,1113.2493,1113.4972,,152,152,,,,,,,,,,,,,,,,bars/034.png,bars/mask004.png,,,,,,,,,,,,1,1,,,,,,,10,4,10,4,,,,,,,,,,,1112.7452,1113.2492,1113.4972,1114.2982,space,0.7827,,1114.2984,27,87,1115.2923,1115.2923,1115.2978,,,,0,31,31,31,1,125,65,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1115.2986,1116.2924,,,1116.7959,1117.0437,,124,124,,,,,,,,,,,,,,,,bars/003.png,bars/mask002.png,,,,,,,,,,,,1,2,,,,,,,8,2,7,2,,,,,,,,,,,1116.2925,1116.7959,1117.0439,1119.4978,space,2.4246,,1119.498,81,16,1120.4916,1120.4918,1120.5024,,,,0,32,32,32,1,25,140,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1120.5029,1121.4916,,,1121.9954,1122.2432,,70,70,,,,,,,,,,,,,,,,bars/030.png,bars/mask005.png,,,,,,,,,,,,1,2,,,,,,,10,0,10,1,,,,,,,,,,,1121.4916,1121.9954,1122.2433,1124.1406,space,1.8739,,1124.1408,70,5,1125.1398,1125.1398,1125.1638,,,,0,33,33,33,1,140,65,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1125.1646,1126.166,,,1126.6694,1126.9178,,83,83,,,,,,,,,,,,,,,,bars/016.png,bars/mask002.png,,,,,,,,,,,,0,1,,,,,,,10,0,10,1,,,,,,,,,,,1126.1662,1126.6694,1126.9179,1127.7175,space,0.7729,,1127.7177,43,82,1128.717,1128.7171,1128.7262,,,,0,34,34,34,1,40,165,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1128.7267,1129.7183,,,1130.2147,1130.4623,,117,117,,,,,,,,,,,,,,,,bars/001.png,bars/mask000.png,,,,,,,,,,,,5,1,,,,,,,8,2,8,2,,,,,,,,,,,1129.7184,1130.2146,1130.4623,1133.0623,space,2.5811,,1133.0625,13,32,1134.0612,1134.0613,1134.0859,,,,0,35,35,35,1,130,85,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1134.0865,1135.0934,,,1135.5895,1135.8375,,141,141,,,,,,,,,,,,,,,,bars/005.png,bars/mask002.png,,,,,,,,,,,,1,2,,,,,,,6,0,6,1,,,,,,,,,,,1135.0936,1135.5894,1135.8375,1136.6139,space,0.7532,,1136.6139,49,1,1137.6154,1137.6155,1137.6207,,,,0,36,36,36,1,10,140,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1137.6216,1138.6173,,,1139.1135,1139.3617,,0,180,,,,,,,,,,,,,,,,bars/036.png,bars/mask007.png,,,,,,,,,,,,1,2,,,,,,,8,2,9,2,,,,,,,,,,,1138.6174,1139.1133,1139.3617,1142.5862,space,3.2097,,1142.5863,35,20,1143.5856,1143.5858,1143.6107,,,,0,37,37,37,1,145,20,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1143.6112,1144.6098,,,1145.1135,1145.3616,,12,12,,,,,,,,,,,,,,,,bars/044.png,bars/mask005.png,,,,,,,,,,,,0,2,,,,,,,10,4,10,6,,,,,,,,,,,1144.6098,1145.1134,1145.3617,1147.0894,space,1.7074,,1147.0895,63,37,1148.0892,1148.0893,1148.091,,,,0,38,38,38,1,75,155,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1148.0919,1149.0889,,,1149.5851,1149.8338,,35,215,,,,,,,,,,,,,,,,bars/012.png,bars/mask002.png,,,,,,,,,,,,2,2,,,,,,,10,6,9,5,,,,,,,,,,,1149.0889,1149.585,1149.8338,1153.1347,space,3.2885,,1153.1348,55,20,1154.1315,1154.1317,1154.1572,,,,0,39,39,39,1,90,15,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1154.1577,1155.1631,,,1155.6592,1155.9072,,144,144,,,,,,,,,,,,,,,,bars/018.png,bars/mask005.png,,,,,,,,,,,,8,1,,,,,,,10,4,10,3,,,,,,,,,,,1155.1632,1155.6591,1155.9073,1158.6307,space,2.7,,1158.6309,6,54,1159.63,1159.6302,1159.6579,,,,0,40,40,40,1,150,90,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1159.6584,1160.6616,,,1161.1575,1161.4058,,108,108,,,,,,,,,,,,,,,,bars/039.png,bars/mask000.png,,,,,,,,,,,,2,2,,,,,,,10,2,10,2,,,,,,,,,,,1160.6616,1161.1574,1161.4058,1162.8326,space,1.4039,,1162.8327,67,3,1163.8331,1163.8332,1163.8386,,,,0,41,41,41,1,175,105,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1163.8393,1164.8332,,,1165.3298,1165.5854,,38,38,,,,,,,,,,,,,,,,bars/038.png,bars/mask003.png,,,,,,,,,,,,0,2,,,,,,,8,0,7,0,,,,,,,,,,,1164.8333,1165.3297,1165.5854,1167.331,space,1.7248,,1167.3311,53,32,1168.3306,1168.3307,1168.3322,,,,0,42,42,42,1,165,70,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1168.3329,1169.3304,,,1169.8267,1170.0584,,49,49,,,,,,,,,,,,,,,,bars/037.png,bars/mask005.png,,,,,,,,,,,,0,2,,,,,,,6,0,5,1,,,,,,,,,,,1169.3305,1169.8266,1170.0585,1171.6833,space,1.6063,,1171.6835,79,56,1172.6831,1172.6832,1172.685,,,,0,43,43,43,1,150,105,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1172.6857,1173.6763,,,1174.1803,1174.429,,168,-12,,,,,,,,,,,,,,,,bars/043.png,bars/mask008.png,,,,,,,,,,,,0,2,,,,,,,8,0,9,0,,,,,,,,,,,1173.6768,1174.1803,1174.429,1176.6068,space,2.155,,1176.6069,42,38,1177.6001,1177.6003,1177.6244,,,,0,44,44,44,1,30,130,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1177.625,1178.626,,,1179.1299,1179.3777,,78,78,,,,,,,,,,,,,,,,bars/048.png,bars/mask004.png,,,,,,,,,,,,1,1,,,,,,,10,0,10,0,,,,,,,,,,,1178.626,1179.1298,1179.3778,1180.7536,space,1.3562,,1180.7536,28,83,1181.7531,1181.7531,1181.7587,,,,0,45,45,45,1,50,175,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1181.7594,1182.7529,,,1183.2495,1183.5049,,109,109,,,,,,,,,,,,,,,,bars/011.png,bars/mask007.png,,,,,,,,,,,,1,2,,,,,,,8,2,7,3,,,,,,,,,,,1182.753,1183.2494,1183.5049,1185.0997,space,1.5717,,1185.0998,51,24,1186.0992,1186.0993,1186.1082,,,,0,46,46,46,1,160,85,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1186.1087,1187.0998,,,1187.6003,1187.8496,,76,76,,,,,,,,,,,,,,,,bars/041.png,bars/mask002.png,,,,,,,,,,,,0,2,,,,,,,10,0,10,0,,,,,,,,,,,1187.0999,1187.6002,1187.8496,1189.9825,space,2.1011,,1189.9825,56,9,1190.9738,1190.9739,1191.0002,,,,0,47,47,47,1,20,85,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1191.0007,1192.0057,,,1192.4977,1192.7483,,0,0,,,,,,,,,,,,,,,,bars/001.png,bars/mask000.png,,,,,,,,,,,,0,1,,,,,,,8,2,6,2,,,,,,,,,,,1192.0057,1192.4976,1192.7484,1193.7579,space,0.9783,,1193.758,50,85,1194.7541,1194.7541,1194.7627,,,,0,48,48,48,1,130,85,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1194.7632,1195.7493,,,1196.2467,1196.4969,,143,143,,,,,,,,,,,,,,,,bars/046.png,bars/mask004.png,,,,,,,,,,,,5,1,,,,,,,10,4,9,4,,,,,,,,,,,1195.7494,1196.2465,1196.4971,1198.531,space,2.002,,1198.5311,12,58,1199.5214,1199.5215,1199.5452,,,,0,49,49,49,1,155,85,,,,,,,,
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199.5458,1259.5307,0,1,1,4,1,sequence_tables/blk036.csv
,,613a9b39928d81d5ce5a3f7c,001,2023-12-14_24h16.34.785,bars,2023.2.3,Win32,40.00320026,,,,,,1268.6957,1269.7026,,,1270.2068,1270.4327,,173,173,,,,,,,,,,,,,,,,bars/028.png,bars/mask003.png,,,,,,,,,,,,0,1,,,,,,,2,7,4,8,,,,,,1259.5557,1268.6773,space,9.1001,,1269.7026,1270.2067,1270.4327,1271.0841,space,0.6279,,1271.0842,52,53,1272.0772,1272.0773,1272.0788,,,,0,0,0,0,1,45,120,,,,,,,,
