init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,286.3225,287.321,,,287.8186,288.0652,,19,199,,,,,,,,,,,,,,,,bars/040.png,bars/mask000.png,,,,,,,,,,,,4,2,,,,,,,0,8,0,8,,,,,,,,,,,287.321,287.8186,288.0652,290.8175,space,2.7464,,290.8175,59,14,291.8176,291.8176,293.4132,space,1.5846,,0,29,29,29,1,140,5,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,293.4134,294.4143,,,294.9121,295.1608,,35,35,,,,,,,,,,,,,,,,bars/025.png,bars/mask004.png,,,,,,,,,,,,6,2,,,,,,,0,6,0,7,,,,,,,,,,,294.4144,294.9121,295.1608,298.4192,space,3.2492,,298.4192,70,5,299.4202,299.4203,299.9968,space,0.5651,,0,30,30,30,1,105,40,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,299.9971,300.9979,,,301.4957,301.7443,,35,215,,,,,,,,,,,,,,,,bars/029.png,bars/mask009.png,,,,,,,,,,,,7,2,,,,,,,0,8,1,10,,,,,,,,,,,300.998,301.4956,301.7444,304.032,space,2.2753,,304.032,55,10,305.0332,305.0332,305.6461,space,0.604,,0,31,31,31,1,90,45,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,305.6464,306.6471,,,307.1448,307.3953,,41,41,,,,,,,,,,,,,,,,bars/010.png,bars/mask000.png,,,,,,,,,,,,5,2,,,,,,,0,10,0,10,,,,,,,,,,,306.6472,307.1447,307.3953,309.236,space,1.8348,,309.236,56,14,310.235,310.235,310.8099,space,0.5684,,0,32,32,32,1,165,55,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,310.8101,311.8109,,,312.3107,312.5594,,41,41,,,,,,,,,,,,,,,,bars/010.png,bars/mask006.png,,,,,,,,,,,,5,2,,,,,,,0,10,0,9,,,,,,,,,,,311.8109,312.3107,312.5594,314.0196,space,1.4524,,314.0196,56,14,315.0208,315.0208,316.3515,space,1.3271,,0,33,33,33,1,165,55,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,316.3517,317.3509,,,317.8485,318.0973,,45,225,,,,,,,,,,,,,,,,bars/046.png,bars/mask001.png,,,,,,,,,,,,0,2,,,,,,,2,8,1,7,,,,,,,,,,,317.3509,317.8484,318.0973,321.5765,space,3.4777,,321.5765,70,40,322.5753,322.5753,324.7233,space,2.1379,,0,34,34,34,1,155,85,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,324.7237,325.7205,,,326.2221,326.4708,,41,221,,,,,,,,,,,,,,,,bars/027.png,bars/mask002.png,,,,,,,,,,,,5,2,,,,,,,0,6,0,7,,,,,,,,,,,325.7206,326.2221,326.4708,330.4271,space,3.9464,,330.4271,69,9,331.4283,331.4283,332.2535,space,0.8132,,0,35,35,35,1,110,50,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,332.2538,333.2548,,,333.7522,333.998,,49,49,,,,,,,,,,,,,,,,bars/011.png,bars/mask006.png,,,,,,,,,,,,0,2,,,,,,,0,8,2,8,,,,,,,,,,,333.2548,333.7522,333.9981,336.1222,space,2.1171,,336.1222,69,36,337.1215,337.1215,338.9122,space,1.7845,,0,36,36,36,1,160,85,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,338.9124,339.913,,,340.4121,340.659,,57,237,,,,,,,,,,,,,,,,bars/028.png,bars/mask007.png,,,,,,,,,,,,0,1,,,,,,,0,6,0,7,,,,,,,,,,,339.9131,340.4121,340.659,343.9705,space,3.3042,,343.9705,12,63,344.9718,344.9719,348.1513,space,3.1641,,0,37,37,37,1,45,120,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,348.1517,349.1525,,,349.6516,349.9004,,151,151,,,,,,,,,,,,,,,,bars/049.png,bars/mask005.png,,,,,,,,,,,,1,1,,,,,,,0,8,1,9,,,,,,,,,,,349.1526,349.6516,349.9004,352.8905,space,2.9824,,352.8906,9,36,353.8916,353.8916,355.9136,space,2.0181,,0,38,38,38,1,160,115,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,355.9138,356.9133,,,357.4109,357.6596,,54,54,,,,,,,,,,,,,,,,bars/004.png,bars/mask001.png,,,,,,,,,,,,0,1,,,,,,,2,6,2,7,,,,,,,,,,,356.9133,357.4109,357.6597,360.269,space,2.5983,,360.269,29,71,361.27,361.2701,361.994,space,0.72,,0,39,39,39,1,25,125,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,361.9943,362.9951,,,363.4909,363.7396,,37,217,,,,,,,,,,,,,,,,bars/041.png,bars/mask007.png,,,,,,,,,,,,2,1,,,,,,,4,4,5,3,,,,,,,,,,,362.9951,363.4908,363.7396,367.5139,space,3.7662,,367.5139,17,48,368.5151,368.5151,368.9338,space,0.4071,,0,40,40,40,1,20,85,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,368.9341,369.9371,,,370.4386,370.6873,,167,167,,,,,,,,,,,,,,,,bars/045.png,bars/mask002.png,,,,,,,,,,,,2,2,,,,,,,2,6,1,7,,,,,,,,,,,369.9371,370.4386,370.6873,373.788,space,3.0974,,373.788,67,23,374.7893,374.7894,375.572,space,0.7727,,0,41,41,41,1,100,10,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,375.5724,376.5732,,,377.0707,377.3194,,29,29,,,,,,,,,,,,,,,,bars/017.png,bars/mask005.png,,,,,,,,,,,,1,2,,,,,,,4,4,3,3,,,,,,,,,,,376.5732,377.0707,377.3195,378.7334,space,1.4085,,378.7334,64,16,379.7346,379.7346,380.4142,space,0.6672,,0,42,42,42,1,145,45,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,380.4145,381.4153,,,381.9127,382.1617,,44,224,,,,,,,,,,,,,,,,bars/019.png,bars/mask009.png,,,,,,,,,,,,4,1,,,,,,,2,6,4,6,,,,,,,,,,,381.4153,381.9127,382.1617,385.3411,space,3.1657,,385.3411,1,61,386.3424,386.3424,387.9405,space,1.5924,,0,43,43,43,1,45,105,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,387.9407,388.9393,,,389.4371,389.6858,,147,147,,,,,,,,,,,,,,,,bars/024.png,bars/mask002.png,,,,,,,,,,,,2,2,,,,,,,0,8,0,8,,,,,,,,,,,388.9393,389.437,389.6858,392.2243,space,2.5313,,392.2243,27,23,393.2233,393.2233,393.893,space,0.6616,,0,44,44,44,1,120,170,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,393.8933,394.892,,,395.3895,395.6383,,132,132,,,,,,,,,,,,,,,,bars/049.png,bars/mask008.png,,,,,,,,,,,,3,2,,,,,,,2,6,1,7,,,,,,,,,,,394.8921,395.3895,395.6383,399.3542,space,3.7143,,399.3542,28,17,400.353,400.353,401.2573,space,0.8961,,0,45,45,45,1,160,115,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,401.2575,402.2588,,,402.7559,403.0047,,159,159,,,,,,,,,,,,,,,,bars/009.png,bars/mask003.png,,,,,,,,,,,,0,1,,,,,,,0,4,0,4,,,,,,,,,,,402.2588,402.7559,403.0047,404.6916,space,1.6783,,404.6916,36,54,405.6928,405.6928,407.7619,space,2.0608,,0,46,46,46,1,15,105,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,407.7623,408.763,,,409.2608,409.5095,,129,129,,,,,,,,,,,,,,,,bars/006.png,bars/mask000.png,,,,,,,,,,,,0,2,,,,,,,2,6,2,6,,,,,,,,,,,408.763,409.2608,409.5095,413.5144,space,4.0028,,413.5144,86,29,414.5155,414.5155,417.7701,space,3.2484,,0,47,47,47,1,35,100,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,417.7705,418.773,,,419.2727,419.5214,,153,-27,,,,,,,,,,,,,,,,bars/000.png,bars/mask004.png,,,,,,,,,,,,2,2,,,,,,,0,4,0,3,,,,,,,,,,,418.773,419.2726,419.5214,423.8296,space,4.2971,,423.8297,67,8,424.8307,424.8308,425.6985,space,0.8564,,0,48,48,48,1,40,145,,,,,,,,
