init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
,,,001,2023-12-14_24h19.37.880,bars,2023.2.3,Win32,144.9275362,,,,,,938.272,939.2681,,,939.7682,940.0218,,62,62,,,,,,,,,,,,,,,,bars/034.png,bars/mask004.png,,,,,,,,,,,,8,2,,,,,,,10,8,10,9,,,,,,,,,,,939.2682,939.7682,940.0218,942.2683,space,2.2387,,942.2683,63,3,943.2687,943.2687,943.276,,,,0,25,25,25,1,125,65,,,,,,,,
,,,001,2023-12-14_24h19.37.880,bars,2023.2.3,Win32,144.9275362,,,,,,943.2761,944.2753,,,944.7755,945.0254,,145,145,,,,,,,,,,,,,,,,bars/049.png,bars/mask007.png,,,,,,,,,,,,5,1,,,,,,,10,10,10,10,,,,,,,,,,,944.2754,944.7754,945.0254,946.6575,space,1.6258,,946.6575,15,30,947.6575,947.6575,947.6583,,,,0,26,26,26,1,160,115,,,,,,,,
,,,001,2023-12-14_24h19.37.880,bars,2023.2.3,Win32,144.9275362,,,,,,947.6584,948.6576,,,949.1576,949.4076,,167,-13,,,,,,,,,,,,,,,,bars/030.png,bars/mask002.png,,,,,,,,,,,,1,1,,,,,,,8,10,7,10,,,,,,,,,,,948.6576,949.1576,949.4076,951.4355,space,2.0143,,951.4355,27,78,952.4355,952.4355,952.4406,,,,0,27,27,27,1,140,65,,,,,,,,
,,,001,2023-12-14_24h19.37.880,bars,2023.2.3,Win32,144.9275362,,,,,,952.4407,953.4356,,,953.9356,954.1856,,80,80,,,,,,,,,,,,,,,,bars/025.png,bars/mask003.png,,,,,,,,,,,,2,1,,,,,,,10,8,10,7,,,,,,,,,,,953.4356,953.9356,954.1856,957.8128,space,3.6169,,957.8128,25,40,958.8108,958.8108,958.8157,,,,0,28,28,28,1,105,40,,,,,,,,
,,,001,2023-12-14_24h19.37.880,bars,2023.2.3,Win32,144.9275362,,,,,,958.8159,959.8108,,,960.3109,960.561,,8,8,,,,,,,,,,,,,,,,bars/043.png,bars/mask008.png,,,,,,,,,,,,3,1,,,,,,,10,6,10,5,,,,,,,,,,,959.8108,960.3109,960.561,966.2834,space,5.7106,,966.2835,22,58,967.2834,967.2834,967.2887,,,,0,29,29,29,1,30,130,,,,,,,,
,,,001,2023-12-14_24h19.37.880,bars,2023.2.3,Win32,144.9275362,,,,,,967.2889,968.2904,,,968.7905,969.0441,,31,211,,,,,,,,,,,,,,,,bars/043.png,bars/mask009.png,,,,,,,,,,,,7,1,,,,,,,8,8,7,8,,,,,,,,,,,968.2904,968.7905,969.0441,971.5337,space,2.4817,,971.5337,1,81,972.5338,972.5338,972.5386,,,,0,30,30,30,1,30,130,,,,,,,,
,,,001,2023-12-14_24h19.37.880,bars,2023.2.3,Win32,144.9275362,,,,,,972.5387,973.5337,,,974.0338,974.2838,,125,125,,,,,,,,,,,,,,,,bars/034.png,bars/mask008.png,,,,,,,,,,,,5,1,,,,,,,6,10,5,10,,,,,,,,,,,973.5338,974.0338,974.2838,976.8623,space,2.568,,976.8623,0,60,977.8604,977.8604,977.8652,,,,0,31,31,31,1,125,65,,,,,,,,
,,,001,2023-12-14_24h19.37.880,bars,2023.2.3,Win32,144.9275362,,,,,,977.8653,978.8604,,,979.3605,979.6104,,75,75,,,,,,,,,,,,,,,,bars/025.png,bars/mask006.png,,,,,,,,,,,,0,1,,,,,,,4,10,4,10,,,,,,,,,,,978.8604,979.3605,979.6105,982.8676,space,3.244,,982.8676,30,35,983.8676,983.8676,983.8726,,,,0,32,32,32,1,105,40,,,,,,,,
,,,001,2023-12-14_24h19.37.880,bars,2023.2.3,Win32,144.9275362,,,,,,983.8727,984.8676,,,985.3677,985.6177,,166,-14,,,,,,,,,,,,,,,,bars/042.png,bars/mask009.png,,,,,,,,,,,,2,1,,,,,,,6,10,5,10,,,,,,,,,,,984.8677,985.3677,985.6178,989.6474,space,4.0193,,989.6476,21,89,990.6457,990.6457,990.6507,,,,0,33,33,33,1,145,75,,,,,,,,
,,,001,2023-12-14_24h19.37.880,bars,2023.2.3,Win32,144.9275362,,,,,,990.6507,991.6457,,,992.1458,992.3958,,71,71,,,,,,,,,,,,,,,,bars/048.png,bars/mask009.png,,,,,,,,,,,,1,1,,,,,,,4,10,3,10,,,,,,,,,,,991.6458,992.1457,992.3958,995.4932,space,3.0822,,995.4933,21,76,996.4932,996.4932,996.4983,,,,0,34,34,34,1,50,175,,,,,,,,
,,,001,2023-12-14_24h19.37.880,bars,2023.2.3,Win32,144.9275362,,,,,,996.4984,997.4933,,,997.9933,998.2432,,49,49,,,,,,,,,,,,,,,,bars/017.png,bars/mask004.png,,,,,,,,,,,,6,2,,,,,,,6,8,6,7,,,,,,,,,,,997.4933,997.9933,998.2433,1001.549,space,3.2941,,1001.549,84,4,1002.5491,1002.5491,1002.5548,,,,0,35,35,35,1,145,45,,,,,,,,
