init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
,,64b6bf2ad951a2caf97a534a,001,2023-12-14_15h17.17.933,bars,2023.2.3,Win32,75.18796992,,,,,,883.6106,884.606,,,885.0986,885.3518,,41,41,,,,,,,,,,,,,,,,bars/044.png,bars/mask001.png,,,,,,,,,,,,0,1,,,,,,,10,8,10,9,,,,,,,,,,,884.606,885.0986,885.3518,887.0991,space,1.7354,,887.0991,34,66,888.0993,888.0993,888.1055,,,,0,37,37,37,1,75,155,,,,,,,,
,,64b6bf2ad951a2caf97a534a,001,2023-12-14_15h17.17.933,bars,2023.2.3,Win32,75.18796992,,,,,,888.1056,889.0998,,,889.5931,889.8331,,96,96,,,,,,,,,,,,,,,,bars/012.png,bars/mask001.png,,,,,,,,,,,,6,1,,,,,,,8,10,7,10,,,,,,,,,,,889.0998,889.5931,889.8331,893.5144,space,3.679,,893.5145,6,81,894.5145,894.5146,894.521,,,,0,38,38,38,1,90,15,,,,,,,,
,,64b6bf2ad951a2caf97a534a,001,2023-12-14_15h17.17.933,bars,2023.2.3,Win32,75.18796992,,,,,,894.5211,895.515,,,896.0089,896.2627,,36,36,,,,,,,,,,,,,,,,bars/041.png,bars/mask000.png,,,,,,,,,,,,2,1,,,,,,,6,10,5,10,,,,,,,,,,,895.515,896.0089,896.2627,900.7705,space,4.5014,,900.7705,16,49,901.7713,901.7713,901.7778,,,,0,39,39,39,1,20,85,,,,,,,,
,,64b6bf2ad951a2caf97a534a,001,2023-12-14_15h17.17.933,bars,2023.2.3,Win32,75.18796992,,,,,,901.7779,902.7714,,,903.2656,903.5181,,153,153,,,,,,,,,,,,,,,,bars/036.png,bars/mask000.png,,,,,,,,,,,,1,1,,,,,,,4,10,2,10,,,,,,,,,,,902.7714,903.2655,903.5181,904.3455,space,0.8234,,904.3455,8,47,905.3459,905.3459,905.3463,,,,0,40,40,40,1,145,20,,,,,,,,
,,64b6bf2ad951a2caf97a534a,001,2023-12-14_15h17.17.933,bars,2023.2.3,Win32,75.18796992,,,,,,905.3464,906.3462,,,906.8392,907.0804,,39,219,,,,,,,,,,,,,,,,bars/016.png,bars/mask006.png,,,,,,,,,,,,5,1,,,,,,,6,10,5,10,,,,,,,,,,,906.3462,906.8392,907.0804,910.415,space,3.3244,,910.415,1,54,911.4144,911.4144,911.4207,,,,0,41,41,41,1,40,165,,,,,,,,
,,64b6bf2ad951a2caf97a534a,001,2023-12-14_15h17.17.933,bars,2023.2.3,Win32,75.18796992,,,,,,911.4208,912.4148,,,912.9083,913.15,,40,40,,,,,,,,,,,,,,,,bars/048.png,bars/mask000.png,,,,,,,,,,,,3,1,,,,,,,4,10,4,10,,,,,,,,,,,912.4148,912.9083,913.15,916.8029,space,3.6445,,916.8029,10,45,917.8037,917.8037,917.8099,,,,0,42,42,42,1,50,175,,,,,,,,
,,64b6bf2ad951a2caf97a534a,001,2023-12-14_15h17.17.933,bars,2023.2.3,Win32,75.18796992,,,,,,917.8099,918.8035,,,919.2976,919.5504,,165,-15,,,,,,,,,,,,,,,,bars/035.png,bars/mask000.png,,,,,,,,,,,,1,1,,,,,,,2,10,1,9,,,,,,,,,,,918.8035,919.2975,919.5504,922.7252,space,3.165,,922.7253,10,75,923.7259,923.7259,923.7328,,,,0,43,43,43,1,175,60,,,,,,,,
,,64b6bf2ad951a2caf97a534a,001,2023-12-14_15h17.17.933,bars,2023.2.3,Win32,75.18796992,,,,,,923.7329,924.7259,,,925.2191,925.4596,,33,213,,,,,,,,,,,,,,,,bars/004.png,bars/mask005.png,,,,,,,,,,,,0,1,,,,,,,0,8,0,6,,,,,,,,,,,924.7259,925.2191,925.4596,928.5271,space,3.0538,,928.5271,8,88,929.5277,929.5277,929.5341,,,,0,44,44,44,1,25,125,,,,,,,,
,,64b6bf2ad951a2caf97a534a,001,2023-12-14_15h17.17.933,bars,2023.2.3,Win32,75.18796992,,,,,,929.5343,930.5279,,,931.0213,931.2617,,144,-36,,,,,,,,,,,,,,,,bars/032.png,bars/mask005.png,,,,,,,,,,,,0,1,,,,,,,0,10,1,10,,,,,,,,,,,930.528,931.0213,931.2618,936.3838,space,5.1086,,936.3839,19,56,937.3843,937.3843,937.3905,,,,0,45,45,45,1,125,20,,,,,,,,
,,64b6bf2ad951a2caf97a534a,001,2023-12-14_15h17.17.933,bars,2023.2.3,Win32,75.18796992,,,,,,937.3907,938.3841,,,938.8779,939.1183,,164,164,,,,,,,,,,,,,,,,bars/004.png,bars/mask005.png,,,,,,,,,,,,0,2,,,,,,,2,10,2,10,,,,,,,,,,,938.3841,938.8779,939.1183,941.0517,space,1.9266,,941.0517,41,39,942.0525,942.0526,942.0596,,,,0,46,46,46,1,25,125,,,,,,,,
